image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,152.9381000000285,1.6181999999389518,0.19049999900744297,154.7467999989749,36,6
2,188.9582000003429,1.7848000024969224,0.2836999992723577,191.0267000021122,44,7
3,141.60839999749442,1.0383999979239888,0.185500000952743,142.83229999637115,28,4
4,139.09770000100252,0.7249000009323936,0.17109999680542387,139.99369999874034,19,3
5,149.5930999990378,0.908599999092985,0.23190000138129108,150.73359999951208,14,4
6,115.97399999664049,1.048300000547897,0.22790000002714805,117.25019999721553,55,8
7,112.50229999859584,1.019100000121398,0.2061000013782177,113.72750000009546,40,8
8,110.34139999901527,0.7596000032208394,0.1812999980757013,111.2823000003118,24,4
9,115.66949999905773,1.1537999998836312,0.1864000005298294,117.0096999994712,16,4
10,165.51199999958044,1.4909000019542873,0.1816000003600493,167.18450000189478,58,10
11,123.61369999780436,0.8233999978983775,0.24300000222865492,124.68009999793139,29,7
12,131.36350000058883,1.1782000001403503,0.2911000010499265,132.8328000017791,11,4
13,125.7828999987396,0.7958999995025806,0.1632999992580153,126.74209999750019,45,10
14,109.07849999784958,0.785399999585934,0.2793000021483749,110.14319999958389,24,4
15,125.12629999764613,0.7125000011001248,0.18730000010691583,126.02609999885317,28,8
16,112.89399999805028,0.7766000016999897,0.15870000061113387,113.8293000003614,39,7
17,156.99160000076517,0.7561000020359643,0.20909999875584617,157.95680000155699,29,6
18,121.01830000028713,1.559099997393787,0.27939999927184545,122.85679999695276,8,2
19,133.87460000012652,0.8721999984118156,0.16360000154236332,134.9104000000807,36,6
20,119.84519999896293,0.7390999999188352,0.19750000137719326,120.78180000025895,37,4
