image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,114.49290000018664,0.6081999999878462,0.14370000280905515,115.24480000298354,5,2
2,119.48130000018864,0.812700000096811,0.16930000128922984,120.46330000157468,2,1
3,113.51320000176202,0.40190000072470866,0.0,113.91510000248672,0,0
4,106.05159999977332,0.3814999981841538,0.0,106.43309999795747,0,0
5,153.1247999992047,1.009900002827635,0.2234999992651865,154.35820000129752,2,1
6,110.5716999991273,0.6240000002435409,0.14320000263978727,111.33890000201063,18,2
7,120.10899999950198,0.42919999759760685,0.0,120.53819999709958,0,0
8,140.17249999960768,0.9946000027412083,0.20539999968605116,141.37250000203494,5,1
9,122.45919999986654,0.28899999961140566,0.0,122.74819999947795,0,0
10,123.25320000309148,0.6599999978789128,0.19830000019283034,124.11150000116322,6,1
11,117.22519999966607,0.6705000014335383,0.15319999874918722,118.0488999998488,3,1
12,116.57650000051945,1.8492000017431565,0.1747999995131977,118.6005000017758,5,1
13,153.12300000005052,0.22700000045006163,0.0,153.3500000005006,0,0
14,128.46199999694363,0.2855000020645093,0.0,128.74749999900814,0,0
15,142.3587999997835,0.7928999984869733,0.32609999834676273,143.47779999661725,25,4
16,121.65129999993951,0.5751000026066322,0.0,122.22640000254614,0,0
17,134.06060000124853,0.8596000006946269,0.1936999979079701,135.11389999985113,20,2
18,109.0567999999621,0.2536000029067509,0.0,109.31040000286885,0,0
19,124.26729999788222,0.9565000000293367,0.14870000086375512,125.37249999877531,7,2
20,125.13270000272314,0.7652999993297271,0.1602000011189375,126.0582000031718,2,1
