image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,134.2356999994081,0.2472000014677178,0.0,134.48290000087582,0,0
2,137.58529999904567,0.24639999901410192,0.0,137.83169999805978,0,0
3,127.99810000069556,0.2190000013797544,0.0,128.2171000020753,0,0
4,140.90229999783332,0.24959999791462906,0.0,141.15189999574795,0,0
5,120.85959999967599,0.23610000062035397,0.0,121.09570000029635,0,0
6,117.560600003344,0.6572999991476536,0.14680000094813295,118.3647000034398,5,2
7,104.27809999964666,0.27799999952549115,0.0,104.55609999917215,0,0
8,112.97890000059851,0.29859999995096587,0.0,113.27750000054948,0,0
9,113.86169999968843,0.234499999351101,0.0,114.09619999903953,0,0
10,112.5449999999546,0.7579999983136076,0.2886000002035871,113.59159999847179,1,1
11,114.0263999986928,0.22430000171880238,0.0,114.2507000004116,0,0
12,128.79120000070543,0.2623999971547164,0.0,129.05359999786015,0,0
13,131.3196999981301,0.30840000181342475,0.0,131.62809999994352,0,0
14,107.22689999965951,0.4358000005595386,0.0,107.66270000021905,0,0
15,106.7851999978302,0.6547000011778437,0.14860000010230578,107.58849999911035,3,2
16,101.34720000132802,0.2358999990974553,0.0,101.58310000042547,0,0
17,111.81789999682223,0.8158000018738676,0.14849999934085645,112.78219999803696,14,2
18,120.16729999959352,0.2286000017193146,0.0,120.39590000131284,0,0
19,101.70360000120127,0.4129999979340937,0.0,102.11659999913536,0,0
20,103.16870000315248,0.2782000010483898,0.0,103.44690000420087,0,0
