image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,115.56380000183708,0.2544999988458585,0.0,115.81830000068294,0,0
2,105.81769999771495,0.22909999825060368,0.0,106.04679999596556,0,0
3,115.05680000118446,0.2763999982562382,0.0,115.3331999994407,0,0
4,148.63359999799286,0.24530000155209564,0.0,148.87889999954496,0,0
5,174.6153999993112,0.21120000019436702,0.0,174.82659999950556,0,0
6,130.95679999969434,0.3265999985160306,0.0,131.28339999821037,0,0
7,111.49730000033742,0.25409999943803996,0.0,111.75139999977546,0,0
8,106.55770000084885,0.21249999917927198,0.0,106.77020000002813,0,0
9,125.54880000243429,0.2289000003656838,0.0,125.77770000279997,0,0
10,119.70260000089183,0.2234999992651865,0.0,119.92610000015702,0,0
11,153.24519999921904,0.5849999979545828,0.0,153.83019999717362,0,0
12,103.8330000010319,0.2257999985886272,0.0,104.05879999962053,0,0
13,105.53100000106497,0.22739999985788018,0.0,105.75840000092285,0,0
14,149.17269999932614,0.27350000164005905,0.0,149.4462000009662,0,0
15,115.98299999968731,0.4079000027559232,0.0,116.39090000244323,0,0
16,100.90060000220546,0.23800000053597614,0.0,101.13860000274144,0,0
17,121.95879999853787,0.7089999999152496,0.15110000094864517,122.81889999940176,6,1
18,129.8008999983722,0.7719999994151294,0.0,130.57289999778732,0,0
19,146.68890000029933,0.2739000010478776,0.0,146.9628000013472,0,0
20,111.37410000083037,0.3467999995336868,0.0,111.72090000036405,0,0
