image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,164.00599999906262,1.4890999991621356,0.23330000112764537,165.7283999993524,8,3
2,135.21009999749367,0.6954999989829957,0.19500000053085387,136.10059999700752,1,1
3,126.79009999919799,0.7220000006782357,0.2305999987584073,127.74269999863463,7,2
4,108.30859999987297,0.7201000007626135,0.17719999959808774,109.20590000023367,8,1
5,101.01710000162711,0.28449999808799475,0.0,101.30159999971511,0,0
6,122.43649999800255,1.0786999991978519,0.37230000089039095,123.88749999809079,24,4
7,129.517900000792,0.7929000021249522,0.15890000213403255,130.46970000505098,5,2
8,115.37920000046142,0.6337000013445504,0.1697999978205189,116.1826999996265,7,1
9,121.25820000073873,0.2936999990197364,0.0,121.55189999975846,0,0
10,133.00650000019232,0.6864000024506822,0.16799999866634607,133.86090000130935,15,2
11,123.55549999847426,0.736400001187576,0.18590000036056153,124.4778000000224,2,1
12,110.0150999991456,0.4425000006449409,0.0,110.45759999979055,0,0
13,113.21660000248812,0.720500000170432,0.17179999849759042,114.10890000115614,14,3
14,109.5190999985789,0.7035000016912818,0.16970000069704838,110.39230000096723,10,2
15,110.4072999987693,0.802400001703063,0.20309999672463164,111.412799997197,10,2
16,117.1530999999959,1.183399999717949,0.24599999960628338,118.58249999932013,3,2
17,117.43529999876046,0.6714999981340952,0.18510000154492445,118.29189999843948,4,1
18,137.62490000226535,0.2507999997760635,0.0,137.8757000020414,0,0
19,108.58899999948335,0.8070000003499445,0.1559999982418958,109.55199999807519,11,2
20,117.62779999844497,0.8742999998503365,0.18700000146054663,118.68909999975585,19,2
