image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,178.4012000025541,1.4869999977236148,0.3561999983503483,180.24439999862807,19,4
2,149.48310000181664,0.7829999995010439,0.18260000069858506,150.44870000201627,11,3
3,145.87290000054054,0.8632000026409514,0.2548000011302065,146.9909000043117,16,3
4,128.32009999692673,0.918399997317465,0.21980000019539148,129.45829999443959,8,1
5,127.1459000017785,0.7422999988193624,0.20489999951678328,128.09310000011465,4,1
6,126.28739999854588,0.8350999996764585,0.16509999841218814,127.28759999663453,39,6
7,151.68289999928675,0.7379999988188501,0.1750999981595669,152.59599999626516,11,2
8,137.4470000009751,0.7092999985616188,0.16089999917312525,138.31719999870984,8,1
9,121.49359999966691,0.6882000016048551,0.16839999807416461,122.35019999934593,5,2
10,121.28980000125011,1.043199998093769,0.18490000002202578,122.51789999936591,24,4
11,140.28260000122827,1.8531000023358501,1.017800001136493,143.15350000470062,7,2
12,120.08259999856818,1.1545000015757978,0.2066000015474856,121.44370000169147,2,1
13,125.9948999977496,0.8361000000149943,0.17490000027464703,127.00589999803924,26,4
14,119.692500000383,0.8454000017081853,0.3601000025810208,120.89800000467221,15,2
15,139.1634999999951,0.7598000011057593,0.1598999988345895,140.08319999993546,15,2
16,102.52430000036838,0.8870000019669533,0.19289999909233302,103.60420000142767,24,3
17,109.22329999812064,0.79840000034892,0.18379999892204069,110.2054999973916,8,2
18,111.92219999793451,2.2209999988263007,0.18980000095325522,114.33299999771407,1,1
19,136.18850000057137,0.8903999987524003,0.19529999917722307,137.274199998501,16,3
20,103.63030000007711,0.7718000015302096,0.1762000028975308,104.57830000450485,23,3
