image_id,forward_ms,nms_ms,scale_coords_ms,total_ms,pre_nms_count,post_nms_count
1,153.7566999977571,0.7676999994146172,0.24159999884432182,154.76599999601603,21,3
2,125.07129999721656,0.9644000019761734,0.15499999790336005,126.19069999709609,36,8
3,137.88710000153515,1.5076999989105389,1.3891999988118187,140.7839999992575,5,3
4,143.03110000037123,0.5739000007451978,0.15449999773409218,143.75949999885052,19,4
5,125.96699999994598,0.9547000008751638,0.22790000002714805,127.1496000008483,13,3
6,125.08130000060191,1.0433999996166676,0.1680999994277954,126.29279999964638,39,7
7,123.44149999989895,1.4225999984773807,0.36390000241226517,125.2280000007886,44,7
8,110.40479999792296,1.0731999973359052,0.21329999799490906,111.69129999325378,16,3
9,156.31909999865456,1.2136000004829839,0.15470000289496966,157.68740000203252,25,7
10,115.45829999886337,1.1699000024236739,0.2507999997760635,116.8790000010631,15,6
11,119.23059999753605,0.7025999984762166,0.14569999984814785,120.07889999586041,34,7
12,103.95280000011553,0.6192000000737607,0.14769999688724056,104.71969999707653,9,1
13,129.57470000037574,0.647100001515355,0.15450000137207098,130.37630000326317,30,5
14,168.45350000221515,1.0297999979229644,0.207500001124572,169.6908000012627,11,2
15,140.68359999873792,0.8838000030664261,0.18350000027567148,141.75090000208002,46,6
16,102.22970000177156,0.6212000007508323,0.14369999917107634,102.99460000169347,19,7
17,139.6031000003859,1.516500000434462,0.5034999994677491,141.6231000002881,26,5
18,147.12650000001304,0.915000000532018,0.21179999748710543,148.25329999803216,9,3
19,130.45810000039637,1.05249999978696,0.1489000023866538,131.65950000256998,19,5
20,141.26870000109193,0.6266999989748001,0.1460999992559664,142.0414999993227,28,5
